cat-cow	vspCu9qBh14	D2PAtLj_R1A	vdlUQuZig_I
breathing-9090	c50AliUu4M0	Av1ABWLFwBM	0kKUr8jagro
Goblet Squat to Box	_d0CRfK1_Rs	r4o_VI3zJ9M	SbRJOP3JASI
DB RDL	RbJUGaOENS0	_tNKM2dj4so	vdlUQuZig_I
Band Row	GI_VEpenEmM	u7YubzfIcTs	v0sI0Ma2l_A
Pallof Press	VuqQ_LxMkCQ	iu3hl9dOxJ8	Di2qXAyTAak
Thread the Needle	7TxEfUmSXbw	8UIdpNwaJOc	rqbS9x2alhI
Calf Stretch	ZwY6wa22SMs	vdlUQuZig_I	RbJUGaOENS0
Kegels	5Z_B9tyuZWk	_tNKM2dj4so	vdlUQuZig_I
Treadmill Incline	kWiwPMeVE9Y	L3q9GRBNt5Y	Olvz4XGtgws
Hip Flexor Stretch	BFefBxBNVcM	RbJUGaOENS0	vdlUQuZig_I
Stationary Bike	oFHG8qoA4eU	ZkFHa9BCPvA	HBAB-I6Hous
Incline DB Press	FzBr6Uqj4xg	Mbdgo2MmMKc	z6sz2ZiGkxI
Supported Split Squat	_tNKM2dj4so	Olvz4XGtgws	vdlUQuZig_I
Suitcase Carry	ztIen7Voeqs	Db3YZvI7Cuc	VcYgeNLkT-A
Bird Dog	Uh6cUpwZeEo	UGs2hgjUar0	YooScnELGKY
Side Plank Knees	cXBVSUpxa3s	RbJUGaOENS0	bzxo4iS6IK0
